;dominant_HSV
0001palmer_sem1_num1lado1;1.0
0002palmer_sem1_num1lado2;1.0
0003palmer_sem1_num2lado1;1.0
0004palmer_sem1_num2lado2;1.0
0005palmer_sem1_num3lado1;1.0
0006palmer_sem1_num3lado2;1.0
0007palmer_sem1_num4lado1;1.0
0008palmer_sem1_num4lado2;1.0
0009palmer_sem1_num5lado1;1.0
0010palmer_sem1_num5lado2;1.0
0011palmer_sem1_num6lado1;1.0
0012palmer_sem1_num6lado2;1.0
0013palmer_sem1_num7lado1;1.0
0014palmer_sem1_num7lado2;1.0
0015palmer_sem1_num8lado1;1.0
0016palmer_sem1_num8lado2;1.0
0017palmer_sem1_num9lado1;1.0
0018palmer_sem1_num9lado2;1.0
0019palmer_sem1_num10lado1;1.0
0020palmer_sem1_num10lado2;1.0
0021palmer_sem1_num11lado1;1.0
0022palmer_sem1_num11lado2;1.0
0023palmer_sem1_num12lado1;1.0
0024palmer_sem1_num12lado2;1.0
0025palmer_sem1_num13lado1;1.0
0026palmer_sem1_num13lado2;1.0
0027palmer_sem1_num14lado1;1.0
0028palmer_sem1_num14lado2;1.0
0029palmer_sem1_num15lado1;1.0
0030palmer_sem1_num15lado2;1.0
0031palmer_sem1_num16lado1;1.0
0032palmer_sem1_num16lado2;1.0
0033palmer_sem1_num17lado1;1.0
0034palmer_sem1_num17lado2;1.0
0035palmer_sem1_num18lado1;1.0
0036palmer_sem1_num18lado2;1.0
0037palmer_sem1_num19lado1;1.0
0038palmer_sem1_num19lado2;1.0
0039palmer_sem1_num20lado1;1.0
0040palmer_sem1_num20lado2;1.0
0041palmer_sem1_num21lado1;1.0
0042palmer_sem1_num21lado2;1.0
0043palmer_sem1_num22lado1;1.0
0044palmer_sem1_num22lado2;1.0
0045palmer_sem1_num23lado1;1.0
0046palmer_sem1_num23lado2;1.0
0047palmer_sem1_num24lado1;1.0
0048palmer_sem1_num24lado2;1.0
0049palmer_sem1_num25lado1;1.0
0050palmer_sem1_num25lado2;1.0
0051palmer_sem1_num26lado1;1.0
0052palmer_sem1_num26lado2;1.0
0053palmer_sem1_num27lado1;1.0
0054palmer_sem1_num27lado2;1.0
0055palmer_sem1_num28lado1;1.0
0056palmer_sem1_num28lado2;1.0
0057palmer_sem1_num29lado1;1.0
0058palmer_sem1_num29lado2;1.0
0059palmer_sem1_num30lado1;1.0
0060palmer_sem1_num30lado2;1.0
0061palmer_sem1_num31lado1;1.0
0062palmer_sem1_num31lado2;1.0
0063palmer_sem1_num32lado1;1.0
0064palmer_sem1_num32lado2;1.0
0065palmer_sem1_num33lado1;1.0
0066palmer_sem1_num33lado2;1.0
0067palmer_sem1_num34lado1;1.0
0068palmer_sem1_num34lado2;1.0
0069palmer_sem1_num35lado1;1.0
0070palmer_sem1_num35lado2;1.0
0071palmer_sem1_num36lado1;1.0
0072palmer_sem1_num36lado2;1.0
0073palmer_sem1_num37lado1;1.0
0074palmer_sem1_num37lado2;1.0
0075palmer_sem1_num38lado1;1.0
0076palmer_sem1_num38lado2;1.0
0077palmer_sem1_num39lado1;1.0
0078palmer_sem1_num39lado2;1.0
0079palmer_sem1_num40lado1;1.0
0080palmer_sem1_num40lado2;1.0
0081palmer_sem1_num41lado1;1.0
0082palmer_sem1_num41lado2;1.0
0083palmer_sem1_num42lado1;1.0
0084palmer_sem1_num42lado2;1.0
0085palmer_sem1_num43lado1;1.0
0086palmer_sem1_num43lado2;1.0
0087palmer_sem1_num44lado1;1.0
0088palmer_sem1_num44lado2;1.0
0089palmer_sem1_num45lado1;1.0
0090palmer_sem1_num45lado2;1.0
0091palmer_sem1_num46lado1;1.0
0092palmer_sem1_num46lado2;1.0
0093palmer_sem1_num47lado1;1.0
0094palmer_sem1_num47lado2;1.0
0095palmer_sem1_num48lado1;1.0
0096palmer_sem1_num48lado2;1.0
0097palmer_sem1_num49lado1;1.0
0098palmer_sem1_num49lado2;1.0
0099palmer_sem1_num50lado1;1.0
0100palmer_sem1_num50lado2;1.0
0101palmer_sem1_num51lado1;1.0
0102palmer_sem1_num51lado2;1.0
0103palmer_sem1_num52lado1;1.0
0104palmer_sem1_num52lado2;1.0
0105palmer_sem1_num53lado1;1.0
0106palmer_sem1_num53lado2;1.0
0107palmer_sem1_num54lado1;1.0
0108palmer_sem1_num54lado2;1.0
0109palmer_sem1_num55lado1;1.0
0110palmer_sem1_num55lado2;1.0
0111palmer_sem1_num56lado1;1.0
0112palmer_sem1_num56lado2;1.0
0113palmer_sem1_num57lado1;1.0
0114palmer_sem1_num57lado2;1.0
0115palmer_sem1_num58lado1;1.0
0116palmer_sem1_num58lado2;1.0
0117palmer_sem1_num59lado1;1.0
0118palmer_sem1_num59lado2;1.0
0119palmer_sem1_num60lado1;1.0
0120palmer_sem1_num60lado2;1.0
0121palmer_sem2_num1lado1;1.0
0122palmer_sem2_num1lado2;1.0
0123palmer_sem2_num2lado1;1.0
0124palmer_sem2_num2lado2;1.0
0125palmer_sem2_num3lado1;1.0
0126palmer_sem2_num3lado2;1.0
0127palmer_sem2_num4lado1;1.0
0128palmer_sem2_num4lado2;1.0
0129palmer_sem2_num5lado1;1.0
0130palmer_sem2_num5lado2;1.0
0131palmer_sem2_num6lado1;1.0
0132palmer_sem2_num6lado2;1.0
0133palmer_sem2_num7lado1;1.0
0134palmer_sem2_num7lado2;1.0
0135palmer_sem2_num8lado1;1.0
0136palmer_sem2_num8lado2;1.0
0137palmer_sem2_num9lado1;1.0
0138palmer_sem2_num9lado2;1.0
0139palmer_sem2_num10lado1;1.0
0140palmer_sem2_num10lado2;1.0
0141palmer_sem2_num11lado1;1.0
0142palmer_sem2_num11lado2;1.0
0143palmer_sem2_num12lado1;1.0
0144palmer_sem2_num12lado2;1.0
0145palmer_sem2_num13lado1;1.0
0146palmer_sem2_num13lado2;1.0
0147palmer_sem2_num14lado1;1.0
0148palmer_sem2_num14lado2;1.0
0149palmer_sem2_num15lado1;1.0
0150palmer_sem2_num15lado2;1.0
0151palmer_sem2_num16lado1;1.0
0152palmer_sem2_num16lado2;1.0
0153palmer_sem2_num17lado1;1.0
0154palmer_sem2_num17lado2;1.0
0155palmer_sem2_num18lado1;1.0
0156palmer_sem2_num18lado2;1.0
0157palmer_sem2_num19lado1;1.0
0158palmer_sem2_num19lado2;1.0
0159palmer_sem2_num20lado1;1.0
0160palmer_sem2_num20lado2;1.0
0161palmer_sem2_num21lado1;1.0
0162palmer_sem2_num21lado2;1.0
0163palmer_sem2_num22lado1;1.0
0164palmer_sem2_num22lado2;1.0
0165palmer_sem2_num23lado1;1.0
0166palmer_sem2_num23lado2;1.0
0167palmer_sem2_num24lado1;1.0
0168palmer_sem2_num24lado2;1.0
0169palmer_sem2_num25lado1;1.0
0170palmer_sem2_num25lado2;1.0
0171palmer_sem2_num26lado1;1.0
0172palmer_sem2_num26lado2;1.0
0173palmer_sem2_num27lado1;1.0
0174palmer_sem2_num27lado2;1.0
0175palmer_sem2_num28lado1;1.0
0176palmer_sem2_num28lado2;1.0
0177palmer_sem2_num29lado1;1.0
0178palmer_sem2_num29lado2;1.0
0179palmer_sem2_num30lado1;1.0
0180palmer_sem2_num30lado2;1.0
0181palmer_sem2_num31lado1;1.0
0182palmer_sem2_num31lado2;1.0
0183palmer_sem2_num32lado1;1.0
0184palmer_sem2_num32lado2;1.0
0185palmer_sem2_num33lado1;1.0
0186palmer_sem2_num33lado2;1.0
0187palmer_sem2_num34lado1;1.0
0188palmer_sem2_num34lado2;1.0
0189palmer_sem2_num35lado1;1.0
0190palmer_sem2_num35lado2;1.0
0191palmer_sem2_num36lado1;1.0
0192palmer_sem2_num36lado2;1.0
0193palmer_sem2_num37lado1;1.0
0194palmer_sem2_num37lado2;1.0
0195palmer_sem2_num38lado1;1.0
0196palmer_sem2_num38lado2;1.0
0197palmer_sem2_num39lado1;1.0
0198palmer_sem2_num39lado2;1.0
0199palmer_sem2_num40lado1;1.0
0200palmer_sem2_num40lado2;1.0
0201palmer_sem2_num41lado1;1.0
0202palmer_sem2_num41lado2;1.0
0203palmer_sem2_num42lado1;1.0
0204palmer_sem2_num42lado2;1.0
0205palmer_sem2_num43lado1;1.0
0206palmer_sem2_num43lado2;1.0
0207palmer_sem2_num44lado1;1.0
0208palmer_sem2_num44lado2;1.0
0209palmer_sem2_num45lado1;1.0
0210palmer_sem2_num45lado2;1.0
0211palmer_sem2_num46lado1;1.0
0212palmer_sem2_num46lado2;1.0
0213palmer_sem2_num47lado1;1.0
0214palmer_sem2_num47lado2;1.0
0215palmer_sem2_num48lado1;1.0
0216palmer_sem2_num48lado2;1.0
0217palmer_sem2_num49lado1;1.0
0218palmer_sem2_num49lado2;1.0
0219palmer_sem2_num50lado1;1.0
0220palmer_sem2_num50lado2;1.0
0221palmer_sem2_num51lado1;1.0
0222palmer_sem2_num51lado2;1.0
0223palmer_sem2_num52lado1;1.0
0224palmer_sem2_num52lado2;1.0
0225palmer_sem2_num53lado1;1.0
0226palmer_sem2_num53lado2;1.0
0227palmer_sem2_num54lado1;1.0
0228palmer_sem2_num54lado2;1.0
0229palmer_sem2_num55lado1;1.0
0230palmer_sem2_num55lado2;1.0
0231palmer_sem2_num56lado1;1.0
0232palmer_sem2_num56lado2;1.0
0233palmer_sem2_num57lado1;1.0
0234palmer_sem2_num57lado2;1.0
0235palmer_sem2_num58lado1;1.0
0236palmer_sem2_num58lado2;1.0
0237palmer_sem2_num59lado1;1.0
0238palmer_sem2_num59lado2;1.0
0239palmer_sem2_num60lado1;1.0
0240palmer_sem2_num60lado2;1.0
0241palmer_sem3_num1lado1;1.0
0242palmer_sem3_num1lado2;1.0
0243palmer_sem3_num2lado1;1.0
0244palmer_sem3_num2lado2;1.0
0245palmer_sem3_num3lado1;1.0
0246palmer_sem3_num3lado2;1.0
0247palmer_sem3_num4lado1;1.0
0248palmer_sem3_num4lado2;1.0
0249palmer_sem3_num5lado1;1.0
0250palmer_sem3_num5lado2;1.0
0251palmer_sem3_num6lado1;1.0
0252palmer_sem3_num6lado2;1.0
0253palmer_sem3_num7lado1;1.0
0254palmer_sem3_num7lado2;1.0
0255palmer_sem3_num8lado1;1.0
0256palmer_sem3_num8lado2;1.0
0257palmer_sem3_num9lado1;1.0
0258palmer_sem3_num9lado2;1.0
0259palmer_sem3_num10lado1;1.0
0260palmer_sem3_num10lado2;1.0
0261palmer_sem3_num11lado1;1.0
0262palmer_sem3_num11lado2;1.0
0263palmer_sem3_num12lado1;1.0
0264palmer_sem3_num12lado2;1.0
0265palmer_sem3_num13lado1;1.0
0266palmer_sem3_num13lado2;1.0
0267palmer_sem3_num14lado1;1.0
0268palmer_sem3_num14lado2;1.0
0269palmer_sem3_num15lado1;1.0
0270palmer_sem3_num15lado2;1.0
0271palmer_sem3_num16lado1;1.0
0272palmer_sem3_num16lado2;1.0
0273palmer_sem3_num17lado1;1.0
0274palmer_sem3_num17lado2;1.0
0275palmer_sem3_num18lado1;1.0
0276palmer_sem3_num18lado2;1.0
0277palmer_sem3_num19lado1;1.0
0278palmer_sem3_num19lado2;1.0
0279palmer_sem3_num20lado1;1.0
0280palmer_sem3_num20lado2;1.0
0281palmer_sem3_num21lado1;1.0
0282palmer_sem3_num21lado2;1.0
0283palmer_sem3_num22lado1;1.0
0284palmer_sem3_num22lado2;1.0
0285palmer_sem3_num23lado1;1.0
0286palmer_sem3_num23lado2;1.0
0287palmer_sem3_num24lado1;1.0
0288palmer_sem3_num24lado2;1.0
0289palmer_sem3_num25lado1;1.0
0290palmer_sem3_num25lado2;1.0
0291palmer_sem3_num26lado1;1.0
0292palmer_sem3_num26lado2;1.0
0293palmer_sem3_num27lado1;1.0
0294palmer_sem3_num27lado2;1.0
0295palmer_sem3_num28lado1;1.0
0296palmer_sem3_num28lado2;1.0
0297palmer_sem3_num29lado1;1.0
0298palmer_sem3_num29lado2;1.0
0299palmer_sem3_num30lado1;1.0
0300palmer_sem3_num30lado2;1.0
0301palmer_sem3_num31lado1;1.0
0302palmer_sem3_num31lado2;1.0
0303palmer_sem3_num32lado1;1.0
0304palmer_sem3_num32lado2;1.0
0305palmer_sem3_num33lado1;1.0
0306palmer_sem3_num33lado2;1.0
0307palmer_sem3_num34lado1;1.0
0308palmer_sem3_num34lado2;1.0
0309palmer_sem3_num35lado1;1.0
0310palmer_sem3_num35lado2;1.0
0311palmer_sem3_num36lado1;1.0
0312palmer_sem3_num36lado2;1.0
0313palmer_sem3_num37lado1;1.0
0314palmer_sem3_num37lado2;1.0
0315palmer_sem3_num38lado1;1.0
0316palmer_sem3_num38lado2;1.0
0317palmer_sem3_num39lado1;1.0
0318palmer_sem3_num39lado2;1.0
0319palmer_sem3_num40lado1;1.0
0320palmer_sem3_num40lado2;1.0
0321palmer_sem3_num41lado1;1.0
0322palmer_sem3_num41lado2;1.0
0323palmer_sem3_num42lado1;1.0
0324palmer_sem3_num42lado2;1.0
0325palmer_sem3_num43lado1;1.0
0326palmer_sem3_num43lado2;1.0
0327palmer_sem3_num44lado1;1.0
0328palmer_sem3_num44lado2;1.0
0329palmer_sem3_num45lado1;1.0
0330palmer_sem3_num45lado2;1.0
0331palmer_sem3_num46lado1;1.0
0332palmer_sem3_num46lado2;1.0
0333palmer_sem3_num47lado1;1.0
0334palmer_sem3_num47lado2;1.0
0335palmer_sem3_num48lado1;1.0
0336palmer_sem3_num48lado2;1.0
0337palmer_sem3_num49lado1;1.0
0338palmer_sem3_num49lado2;1.0
0339palmer_sem3_num50lado1;1.0
0340palmer_sem3_num50lado2;1.0
0341palmer_sem3_num51lado1;1.0
0342palmer_sem3_num51lado2;1.0
0343palmer_sem3_num52lado1;1.0
0344palmer_sem3_num52lado2;1.0
0345palmer_sem3_num53lado1;1.0
0346palmer_sem3_num53lado2;1.0
0347palmer_sem3_num54lado1;1.0
0348palmer_sem3_num54lado2;1.0
0349palmer_sem3_num55lado1;1.0
0350palmer_sem3_num55lado2;1.0
0351palmer_sem3_num56lado1;1.0
0352palmer_sem3_num56lado2;1.0
0353palmer_sem3_num57lado1;1.0
0354palmer_sem3_num57lado2;1.0
0355palmer_sem3_num58lado1;1.0
0356palmer_sem3_num58lado2;1.0
0357palmer_sem3_num59lado1;1.0
0358palmer_sem3_num59lado2;1.0
0359palmer_sem3_num60lado1;1.0
0360palmer_sem3_num60lado2;1.0
0361palmer_sem4_num1lado1;1.0
0362palmer_sem4_num1lado2;1.0
0363palmer_sem4_num2lado1;1.0
0364palmer_sem4_num2lado2;1.0
0365palmer_sem4_num3lado1;1.0
0366palmer_sem4_num3lado2;1.0
0367palmer_sem4_num4lado1;1.0
0368palmer_sem4_num4lado2;1.0
0369palmer_sem4_num5lado1;1.0
0370palmer_sem4_num5lado2;1.0
0371palmer_sem4_num6lado1;1.0
0372palmer_sem4_num6lado2;1.0
0373palmer_sem4_num7lado1;1.0
0374palmer_sem4_num7lado2;1.0
0375palmer_sem4_num8lado1;1.0
0376palmer_sem4_num8lado2;1.0
0377palmer_sem4_num9lado1;1.0
0378palmer_sem4_num9lado2;1.0
0379palmer_sem4_num10lado1;1.0
0380palmer_sem4_num10lado2;1.0
0381palmer_sem4_num11lado1;1.0
0382palmer_sem4_num11lado2;1.0
0383palmer_sem4_num12lado1;1.0
0384palmer_sem4_num12lado2;1.0
0385palmer_sem4_num13lado1;1.0
0386palmer_sem4_num13lado2;1.0
0387palmer_sem4_num14lado1;1.0
0388palmer_sem4_num14lado2;1.0
0389palmer_sem4_num15lado1;1.0
0390palmer_sem4_num15lado2;1.0
0391palmer_sem4_num16lado1;0.0
0392palmer_sem4_num16lado2;1.0
0393palmer_sem4_num17lado1;1.0
0394palmer_sem4_num17lado2;1.0
0395palmer_sem4_num18lado1;1.0
0396palmer_sem4_num18lado2;1.0
0397palmer_sem4_num19lado1;1.0
0398palmer_sem4_num19lado2;1.0
0399palmer_sem4_num20lado1;1.0
0400palmer_sem4_num20lado2;1.0
0401palmer_sem4_num21lado1;1.0
0402palmer_sem4_num21lado2;1.0
0403palmer_sem4_num22lado1;1.0
0404palmer_sem4_num22lado2;1.0
0405palmer_sem4_num23lado1;1.0
0406palmer_sem4_num23lado2;1.0
0407palmer_sem4_num24lado1;1.0
0408palmer_sem4_num24lado2;1.0
0409palmer_sem4_num25lado1;1.0
0410palmer_sem4_num25lado2;1.0
0411palmer_sem4_num26lado1;1.0
0412palmer_sem4_num26lado2;1.0
0413palmer_sem4_num27lado1;1.0
0414palmer_sem4_num27lado2;1.0
0415palmer_sem4_num28lado1;1.0
0416palmer_sem4_num28lado2;1.0
0417palmer_sem4_num29lado1;1.0
0418palmer_sem4_num29lado2;1.0
0419palmer_sem4_num30lado1;1.0
0420palmer_sem4_num30lado2;1.0
0421palmer_sem4_num31lado1;1.0
0422palmer_sem4_num31lado2;1.0
0423palmer_sem4_num32lado1;1.0
0424palmer_sem4_num32lado2;1.0
0425palmer_sem4_num33lado1;1.0
0426palmer_sem4_num33lado2;1.0
0427palmer_sem4_num34lado1;1.0
0428palmer_sem4_num34lado2;1.0
0429palmer_sem4_num35lado1;1.0
0430palmer_sem4_num35lado2;1.0
0431palmer_sem4_num36lado1;1.0
0432palmer_sem4_num36lado2;1.0
0433palmer_sem4_num37lado1;1.0
0434palmer_sem4_num37lado2;1.0
0435palmer_sem4_num38lado1;1.0
0436palmer_sem4_num38lado2;1.0
0437palmer_sem4_num39lado1;1.0
0438palmer_sem4_num39lado2;1.0
0439palmer_sem4_num40lado1;1.0
0440palmer_sem4_num40lado2;1.0
0441palmer_sem4_num41lado1;1.0
0442palmer_sem4_num41lado2;1.0
0443palmer_sem4_num42lado1;1.0
0444palmer_sem4_num42lado2;1.0
0445palmer_sem4_num43lado1;1.0
0446palmer_sem4_num43lado2;1.0
0447palmer_sem4_num44lado1;1.0
0448palmer_sem4_num44lado2;1.0
0449palmer_sem4_num45lado1;1.0
0450palmer_sem4_num45lado2;1.0
0451palmer_sem4_num46lado1;1.0
0452palmer_sem4_num46lado2;1.0
0453palmer_sem4_num47lado1;1.0
0454palmer_sem4_num47lado2;1.0
0455palmer_sem4_num48lado1;1.0
0456palmer_sem4_num48lado2;1.0
0457palmer_sem4_num49lado1;1.0
0458palmer_sem4_num49lado2;1.0
0459palmer_sem4_num50lado1;1.0
0460palmer_sem4_num50lado2;1.0
0461palmer_sem4_num51lado1;1.0
0462palmer_sem4_num51lado2;1.0
0463palmer_sem4_num52lado1;0.0
0464palmer_sem4_num52lado2;1.0
0465palmer_sem4_num53lado1;1.0
0466palmer_sem4_num53lado2;1.0
0467palmer_sem4_num54lado1;1.0
0468palmer_sem4_num54lado2;1.0
0469palmer_sem4_num55lado1;1.0
0470palmer_sem4_num55lado2;1.0
0471palmer_sem4_num56lado1;1.0
0472palmer_sem4_num56lado2;1.0
0473palmer_sem4_num57lado1;1.0
0474palmer_sem4_num57lado2;1.0
0475palmer_sem4_num58lado1;1.0
0476palmer_sem4_num58lado2;1.0
0477palmer_sem4_num59lado1;1.0
0478palmer_sem4_num59lado2;1.0
0479palmer_sem4_num60lado1;1.0
0480palmer_sem4_num60lado2;1.0
0481palmer_sem5_num1lado1;1.0
0482palmer_sem5_num1lado2;1.0
0483palmer_sem5_num2lado1;1.0
0484palmer_sem5_num2lado2;1.0
0485palmer_sem5_num3lado1;1.0
0486palmer_sem5_num3lado2;1.0
0487palmer_sem5_num4lado1;1.0
0488palmer_sem5_num4lado2;2.0
0489palmer_sem5_num5lado1;3.0
0490palmer_sem5_num5lado2;1.0
0491palmer_sem5_num6lado1;1.0
0492palmer_sem5_num6lado2;1.0
0493palmer_sem5_num7lado1;2.0
0494palmer_sem5_num7lado2;1.0
0495palmer_sem5_num8lado1;1.0
0496palmer_sem5_num8lado2;3.0
0497palmer_sem5_num9lado1;3.0
0498palmer_sem5_num9lado2;2.0
0499palmer_sem5_num10lado1;1.0
0500palmer_sem5_num10lado2;1.0
0501palmer_sem5_num11lado1;1.0
0502palmer_sem5_num11lado2;1.0
0503palmer_sem5_num12lado1;1.0
0504palmer_sem5_num12lado2;1.0
0505palmer_sem5_num13lado1;1.0
0506palmer_sem5_num13lado2;1.0
0507palmer_sem5_num14lado1;1.0
0508palmer_sem5_num14lado2;2.0
0509palmer_sem5_num15lado1;1.0
0510palmer_sem5_num15lado2;1.0
0511palmer_sem5_num16lado1;1.0
0512palmer_sem5_num16lado2;1.0
0513palmer_sem5_num17lado1;1.0
0514palmer_sem5_num17lado2;1.0
0515palmer_sem5_num18lado1;1.0
0516palmer_sem5_num18lado2;1.0
0517palmer_sem5_num19lado1;3.0
0518palmer_sem5_num19lado2;2.0
0519palmer_sem5_num20lado1;1.0
0520palmer_sem5_num20lado2;1.0
0521palmer_sem5_num21lado1;2.0
0522palmer_sem5_num21lado2;3.0
0523palmer_sem5_num22lado1;1.0
0524palmer_sem5_num22lado2;1.0
0525palmer_sem5_num23lado1;1.0
0526palmer_sem5_num23lado2;1.0
0527palmer_sem5_num24lado1;1.0
0528palmer_sem5_num24lado2;1.0
0529palmer_sem5_num25lado1;1.0
0530palmer_sem5_num25lado2;2.0
0531palmer_sem5_num26lado1;1.0
0532palmer_sem5_num26lado2;1.0
0533palmer_sem5_num27lado1;1.0
0534palmer_sem5_num27lado2;1.0
0535palmer_sem5_num28lado1;2.0
0536palmer_sem5_num28lado2;1.0
0537palmer_sem5_num29lado1;1.0
0538palmer_sem5_num29lado2;1.0
0539palmer_sem5_num30lado1;2.0
0540palmer_sem5_num30lado2;1.0
0541palmer_sem5_num31lado1;1.0
0542palmer_sem5_num31lado2;1.0
0543palmer_sem5_num32lado1;1.0
0544palmer_sem5_num32lado2;1.0
0545palmer_sem5_num33lado1;1.0
0546palmer_sem5_num33lado2;1.0
0547palmer_sem5_num34lado1;1.0
0548palmer_sem5_num34lado2;2.0
0549palmer_sem5_num35lado1;1.0
0550palmer_sem5_num35lado2;3.0
0551palmer_sem5_num36lado1;1.0
0552palmer_sem5_num36lado2;2.0
0553palmer_sem5_num37lado1;1.0
0554palmer_sem5_num37lado2;1.0
0555palmer_sem5_num38lado1;2.0
0556palmer_sem5_num38lado2;1.0
0557palmer_sem5_num39lado1;1.0
0558palmer_sem5_num39lado2;1.0
0559palmer_sem5_num40lado1;2.0
0560palmer_sem5_num40lado2;1.0
0561palmer_sem5_num41lado1;2.0
0562palmer_sem5_num41lado2;1.0
0563palmer_sem5_num42lado1;1.0
0564palmer_sem5_num42lado2;2.0
0565palmer_sem5_num43lado1;1.0
0566palmer_sem5_num43lado2;1.0
0567palmer_sem5_num44lado1;1.0
0568palmer_sem5_num44lado2;2.0
0569palmer_sem5_num45lado1;1.0
0570palmer_sem5_num45lado2;1.0
0571palmer_sem5_num46lado1;1.0
0572palmer_sem5_num46lado2;2.0
0573palmer_sem5_num47lado1;2.0
0574palmer_sem5_num47lado2;1.0
0575palmer_sem5_num48lado1;2.0
0576palmer_sem5_num48lado2;1.0
0577palmer_sem5_num49lado1;1.0
0578palmer_sem5_num49lado2;1.0
0579palmer_sem5_num50lado1;3.0
0580palmer_sem5_num50lado2;1.0
0581palmer_sem5_num51lado1;1.0
0582palmer_sem5_num51lado2;2.0
0583palmer_sem5_num52lado1;1.0
0584palmer_sem5_num52lado2;1.0
0585palmer_sem5_num53lado1;1.0
0586palmer_sem5_num53lado2;1.0
0587palmer_sem5_num54lado1;2.0
0588palmer_sem5_num54lado2;1.0
0589palmer_sem5_num55lado1;2.0
0590palmer_sem5_num55lado2;1.0
0591palmer_sem5_num56lado1;1.0
0592palmer_sem5_num56lado2;2.0
0593palmer_sem5_num57lado1;3.0
0594palmer_sem5_num57lado2;1.0
0595palmer_sem5_num58lado1;2.0
0596palmer_sem5_num58lado2;2.0
0597palmer_sem5_num59lado1;3.0
0598palmer_sem5_num59lado2;1.0
0599palmer_sem5_num60lado1;2.0
0600palmer_sem5_num60lado2;1.0
0601palmer_sem6_num1lado1;3.0
0602palmer_sem6_num1lado2;1.0
0603palmer_sem6_num2lado1;3.0
0604palmer_sem6_num2lado2;4.0
0605palmer_sem6_num3lado1;1.0
0606palmer_sem6_num3lado2;2.0
0607palmer_sem6_num4lado1;2.0
0608palmer_sem6_num4lado2;3.0
0609palmer_sem6_num5lado1;3.0
0610palmer_sem6_num5lado2;1.0
0611palmer_sem6_num6lado1;1.0
0612palmer_sem6_num6lado2;2.0
0613palmer_sem6_num7lado1;3.0
0614palmer_sem6_num7lado2;1.0
0615palmer_sem6_num8lado1;3.0
0616palmer_sem6_num8lado2;3.0
0617palmer_sem6_num9lado1;3.0
0618palmer_sem6_num9lado2;1.0
0619palmer_sem6_num10lado1;2.0
0620palmer_sem6_num10lado2;1.0
0621palmer_sem6_num11lado1;3.0
0622palmer_sem6_num11lado2;2.0
0623palmer_sem6_num12lado1;2.0
0624palmer_sem6_num12lado2;1.0
0625palmer_sem6_num13lado1;1.0
0626palmer_sem6_num13lado2;1.0
0627palmer_sem6_num14lado1;1.0
0628palmer_sem6_num14lado2;1.0
0629palmer_sem6_num15lado1;2.0
0630palmer_sem6_num15lado2;1.0
0631palmer_sem6_num16lado1;1.0
0632palmer_sem6_num16lado2;1.0
0633palmer_sem6_num17lado1;3.0
0634palmer_sem6_num17lado2;1.0
0635palmer_sem6_num18lado1;4.0
0636palmer_sem6_num18lado2;1.0
0637palmer_sem6_num19lado1;2.0
0638palmer_sem6_num19lado2;2.0
0639palmer_sem6_num20lado1;1.0
0640palmer_sem6_num20lado2;3.0
0641palmer_sem6_num21lado1;3.0
0642palmer_sem6_num21lado2;1.0
0643palmer_sem6_num22lado1;2.0
0644palmer_sem6_num22lado2;4.0
0645palmer_sem6_num23lado1;2.0
0646palmer_sem6_num23lado2;3.0
0647palmer_sem6_num24lado1;1.0
0648palmer_sem6_num24lado2;3.0
0649palmer_sem6_num25lado1;2.0
0650palmer_sem6_num25lado2;3.0
0651palmer_sem6_num26lado1;1.0
0652palmer_sem6_num26lado2;1.0
0653palmer_sem6_num27lado1;1.0
0654palmer_sem6_num27lado2;2.0
0655palmer_sem6_num28lado1;2.0
0656palmer_sem6_num28lado2;1.0
0657palmer_sem6_num29lado1;1.0
0658palmer_sem6_num29lado2;1.0
0659palmer_sem6_num30lado1;2.0
0660palmer_sem6_num30lado2;1.0
0661palmer_sem6_num31lado1;2.0
0662palmer_sem6_num31lado2;3.0
0663palmer_sem6_num32lado1;2.0
